Feature,Importance
Location_Singapore,2.4546511286620034e-06
Location_Saint Vincent and the Grenadines,2.442604811283769e-06
Location_Ecuador,2.4045174629074735e-06
Location_Kazakhstan,2.20463063567151e-06
Location_Latvia,2.000665987895491e-06
Location_United Arab Emirates,1.963906724759764e-06
Location_Tunisia,1.7996719235913103e-06
Location_Sri Lanka,1.7159277869373306e-06
Location_United Kingdom of Great Britain and Northern Ireland,1.6742092878626776e-06
Location_Fiji,1.6702043399762144e-06
Location_Lesotho,1.6657720267564309e-06
Location_Saint Lucia,1.6523704907442977e-06
Location_Belgium,1.5688469577512072e-06
Location_Republic of Moldova,1.2220732832001156e-06
Location_Germany,9.01725755593658e-07
Location_Brunei Darussalam,6.946676707443632e-07
Location_Sierra Leone,6.229680655453971e-07
Location_Philippines,4.6032953023704263e-07
Location_Peru,4.4050136372719253e-07
Location_Argentina,4.255460688954384e-07
Location_Slovenia,4.204088532642343e-07
Location_Italy,2.1563301998881342e-07
Location_Austria,0.0
Location_Bhutan,0.0
Location_Cuba,0.0
Location_Cabo Verde,0.0
Location_Bangladesh,0.0
Location_Bosnia and Herzegovina,0.0
Location_Burkina Faso,0.0
Location_Estonia,0.0
Location_Democratic People's Republic of Korea,0.0
Location_Chad,0.0
Location_Myanmar,0.0
Location_Luxembourg,0.0
Location_Lebanon,0.0
Location_Malaysia,0.0
Location_Nepal,0.0
Location_Iceland,0.0
Location_Hungary,0.0
Location_Honduras,0.0
Location_Gambia,0.0
Location_Kiribati,0.0
Location_Japan,0.0
Location_Kyrgyzstan,0.0
Location_Mexico,0.0
Location_Norway,0.0
Location_Nicaragua,0.0
Location_Samoa,0.0
Location_Senegal,0.0
Location_Paraguay,0.0
Location_Qatar,0.0
Location_Republic of Korea,0.0
Location_Rwanda,0.0
Location_Somalia,0.0
Location_Slovakia,0.0
Location_Switzerland,0.0
Location_Trinidad and Tobago,0.0
Location_Timor-Leste,0.0
Location_Vanuatu,0.0
Location_Venezuela (Bolivarian Republic of),0.0
Location_Viet Nam,0.0
