,Train R²,Test R²,Train MSE,Test MSE,Train MAE,Test MAE,Test RMSE
Linear Regression,0.9890024432902376,0.9637211476125612,0.6687318524609798,1.4933396330824038,0.5159587506731111,0.728856270585612,1.2220227629149973
Random Forest,0.9804553460749448,0.954299605760901,1.1884578520435096,1.8811568027539634,0.7486577664325089,1.0139558560139266,1.3715526977677392
Gradient Boosting,0.9984630330632192,0.9867483812692591,0.09345882671306249,0.5454739097525676,0.22284091947280033,0.4934625913035774,0.7385620554513802
Ridge Regression,0.9888594592533873,0.9668438915213161,0.6774263272755914,1.3647987081074733,0.5142520721567113,0.6845129995155677,1.1682459964012175
Lasso Regression,0.9877950182864144,0.966950262518648,0.7421521203280808,1.3604201785875814,0.5415608734932307,0.6684722574808007,1.1663705151398425
AdaBoost,0.9283482179035804,0.9007261090564455,4.356952206569182,4.086392653579103,1.5896358723138324,1.5593577493931081,2.021482785872564
SVR,0.8710322433584663,0.899574512332596,7.842182503143704,4.13379561469503,1.8323176959836578,1.4412123981923037,2.0331737787742172
